route	dt	hour	minute	travelDistance	trafficCongestion	travelDuration	travelDurationTraffic 
home-to-work	2015-03-14	03	00	40.674	None	1772	1800
home-to-work	2015-03-14	03	05	40.674	None	1772	1804
home-to-work	2015-03-14	03	10	40.674	None	1772	1788
home-to-work	2015-03-14	03	15	40.674	None	1772	1788
home-to-work	2015-03-14	03	20	40.674	None	1772	1789
home-to-work	2015-03-14	03	25	40.674	None	1772	1796
home-to-work	2015-03-14	03	30	40.674	None	1772	1795
home-to-work	2015-03-14	03	35	40.674	None	1772	1802
home-to-work	2015-03-14	03	40	40.674	None	1772	1841
home-to-work	2015-03-14	03	45	40.674	None	1772	1816
home-to-work	2015-03-14	03	50	40.674	None	1772	1800
home-to-work	2015-03-14	03	55	40.674	None	1772	1825
home-to-work	2015-03-14	04	00	40.674	None	1772	1811
home-to-work	2015-03-14	04	05	40.674	None	1772	1794
home-to-work	2015-03-14	04	10	40.674	None	1772	1842
home-to-work	2015-03-14	04	15	40.674	None	1772	1825
home-to-work	2015-03-14	04	20	40.674	None	1772	1840
home-to-work	2015-03-14	04	25	40.674	None	1772	1825
home-to-work	2015-03-14	04	30	40.674	None	1772	1930
home-to-work	2015-03-14	04	35	40.674	None	1772	1871
home-to-work	2015-03-14	04	40	40.674	None	1772	1828
home-to-work	2015-03-14	04	45	40.674	None	1772	1820
home-to-work	2015-03-14	04	50	40.674	None	1772	1790
home-to-work	2015-03-14	04	55	40.674	None	1772	1787
home-to-work	2015-03-14	05	00	40.674	None	1772	1792
home-to-work	2015-03-14	05	05	40.674	None	1772	1795
home-to-work	2015-03-14	05	10	40.674	None	1772	1799
home-to-work	2015-03-14	05	15	40.674	None	1772	1791
home-to-work	2015-03-14	05	20	40.674	None	1772	1802
home-to-work	2015-03-14	05	25	40.674	None	1772	1799
home-to-work	2015-03-14	05	30	40.674	None	1772	1799
home-to-work	2015-03-14	05	35	40.674	None	1772	1806
home-to-work	2015-03-14	05	40	40.674	None	1772	1813
home-to-work	2015-03-14	05	45	40.674	None	1772	1795
home-to-work	2015-03-14	05	50	40.674	None	1772	1802
home-to-work	2015-03-14	05	55	40.674	None	1772	1818
home-to-work	2015-03-14	06	00	40.674	None	1772	1794
home-to-work	2015-03-14	06	05	40.674	None	1772	1804
home-to-work	2015-03-14	06	10	40.674	None	1772	1808
home-to-work	2015-03-14	06	15	40.674	None	1772	1819
home-to-work	2015-03-14	06	20	40.674	None	1772	1823
home-to-work	2015-03-14	06	25	40.674	None	1772	1812
home-to-work	2015-03-14	06	30	40.674	None	1772	1804
home-to-work	2015-03-14	06	35	40.674	None	1772	1818
home-to-work	2015-03-14	06	40	40.674	None	1772	1830
home-to-work	2015-03-14	06	45	40.674	None	1772	1829
home-to-work	2015-03-14	06	50	40.674	None	1772	1847
home-to-work	2015-03-14	06	55	40.674	None	1772	1842
home-to-work	2015-03-14	07	00	40.674	None	1772	1890
home-to-work	2015-03-14	07	05	40.674	None	1772	1862
home-to-work	2015-03-14	07	10	40.674	None	1772	1889
home-to-work	2015-03-14	07	15	40.674	None	1772	1910
home-to-work	2015-03-14	07	20	40.674	Mild	1772	1986
home-to-work	2015-03-14	07	25	40.674	Mild	1772	1976
home-to-work	2015-03-14	07	30	40.674	Mild	1772	2081
home-to-work	2015-03-14	07	35	40.674	Mild	1772	1967
home-to-work	2015-03-14	07	40	40.674	Mild	1772	1955
home-to-work	2015-03-14	07	45	40.674	Mild	1772	1959
home-to-work	2015-03-14	07	50	40.674	Mild	1772	1981
home-to-work	2015-03-14	07	55	40.674	Mild	1772	2016
home-to-work	2015-03-14	08	00	40.674	Mild	1772	2024
home-to-work	2015-03-14	08	05	40.674	Mild	1772	2009
home-to-work	2015-03-14	08	10	40.674	Mild	1772	1978
home-to-work	2015-03-14	08	15	40.674	Mild	1772	1967
home-to-work	2015-03-14	08	20	40.674	Mild	1772	1971
home-to-work	2015-03-14	08	25	40.674	Mild	1772	2026
home-to-work	2015-03-14	08	30	40.674	Mild	1772	2037
home-to-work	2015-03-14	08	35	40.674	Mild	1772	2000
home-to-work	2015-03-14	08	40	40.674	Mild	1772	1997
home-to-work	2015-03-14	08	45	40.674	Mild	1772	2003
home-to-work	2015-03-14	08	50	40.674	Mild	1772	2010
home-to-work	2015-03-14	08	55	40.674	Mild	1772	2087
home-to-work	2015-03-14	09	00	40.674	Mild	1772	2104
home-to-work	2015-03-14	09	05	40.674	Mild	1772	2165
home-to-work	2015-03-14	09	10	40.674	Mild	1772	2129
home-to-work	2015-03-14	09	15	40.674	Mild	1772	2090
home-to-work	2015-03-14	09	20	40.674	Mild	1772	2169
home-to-work	2015-03-14	09	25	40.674	Mild	1772	2165
home-to-work	2015-03-14	09	30	40.674	Mild	1772	2160
home-to-work	2015-03-14	09	35	40.674	Medium	1772	2311
home-to-work	2015-03-14	09	40	40.674	Medium	1772	2390
home-to-work	2015-03-14	09	45	40.674	Medium	1772	2462
home-to-work	2015-03-14	09	50	40.674	Heavy	1772	2710
home-to-work	2015-03-14	09	55	40.674	Heavy	1772	2710
home-to-work	2015-03-14	10	00	40.674	Heavy	1772	2671
home-to-work	2015-03-14	10	05	40.674	Medium	1772	2626
home-to-work	2015-03-14	10	10	40.674	Medium	1772	2420
home-to-work	2015-03-14	10	15	40.674	Medium	1772	2510
home-to-work	2015-03-14	10	20	40.674	Medium	1772	2481
home-to-work	2015-03-14	10	25	40.674	Medium	1772	2502
home-to-work	2015-03-14	10	30	40.674	Medium	1772	2578
home-to-work	2015-03-14	10	35	40.674	Medium	1772	2568
home-to-work	2015-03-14	10	40	40.674	Medium	1772	2568
home-to-work	2015-03-14	10	45	40.674	Medium	1772	2588
home-to-work	2015-03-14	10	50	40.674	Medium	1772	2655
home-to-work	2015-03-14	10	55	40.674	Heavy	1772	2741
home-to-work	2015-03-14	11	00	40.674	Medium	1772	2651
home-to-work	2015-03-14	11	05	40.674	Heavy	1772	2675
home-to-work	2015-03-14	11	10	40.674	Medium	1772	2548
home-to-work	2015-03-14	11	15	40.674	Medium	1772	2638
home-to-work	2015-03-14	11	20	40.674	Heavy	1772	2701
home-to-work	2015-03-14	11	25	40.674	Heavy	1772	2789
home-to-work	2015-03-14	11	30	40.674	Heavy	1772	2919
home-to-work	2015-03-14	11	35	40.674	Heavy	1772	2808
home-to-work	2015-03-14	11	40	40.674	Heavy	1772	2895
home-to-work	2015-03-14	11	45	40.674	Heavy	1772	2893
home-to-work	2015-03-14	11	50	40.674	Heavy	1772	2946
home-to-work	2015-03-14	11	55	40.674	Heavy	1772	2965
home-to-work	2015-03-14	12	00	40.674	Heavy	1772	2893
home-to-work	2015-03-14	12	05	40.674	Heavy	1772	2996
home-to-work	2015-03-14	12	10	40.674	Heavy	1772	2858
home-to-work	2015-03-14	12	15	40.674	Heavy	1772	2845
home-to-work	2015-03-14	12	20	40.674	Heavy	1772	2988
home-to-work	2015-03-14	12	25	40.674	Heavy	1772	2935
home-to-work	2015-03-14	12	30	40.674	Heavy	1772	2976
home-to-work	2015-03-14	12	35	40.674	Heavy	1772	3090
home-to-work	2015-03-14	12	40	40.674	Heavy	1772	3176
home-to-work	2015-03-14	12	45	40.674	Heavy	1772	3294
home-to-work	2015-03-14	12	50	40.674	Heavy	1772	3384
home-to-work	2015-03-14	12	55	40.674	Heavy	1772	3250
home-to-work	2015-03-14	13	00	40.674	Heavy	1772	3304
home-to-work	2015-03-14	13	05	40.674	Heavy	1772	3249
home-to-work	2015-03-14	13	10	40.674	Heavy	1772	3241
home-to-work	2015-03-14	13	15	40.674	Heavy	1772	3265
home-to-work	2015-03-14	13	20	40.674	Heavy	1772	3450
home-to-work	2015-03-14	13	25	40.674	Heavy	1772	3376
home-to-work	2015-03-14	13	30	40.674	Heavy	1772	3538
home-to-work	2015-03-14	13	35	40.674	Heavy	1772	3504
home-to-work	2015-03-14	13	40	40.674	Heavy	1772	3429
home-to-work	2015-03-14	13	45	40.674	Heavy	1772	3593
home-to-work	2015-03-14	13	50	40.674	Heavy	1772	3489
home-to-work	2015-03-14	13	55	40.674	Heavy	1772	3408
home-to-work	2015-03-14	14	00	40.674	Heavy	1772	3411
home-to-work	2015-03-14	14	05	40.674	Heavy	1772	3544
home-to-work	2015-03-14	14	10	40.674	Heavy	1772	3450
home-to-work	2015-03-14	14	15	40.674	Heavy	1772	3393
home-to-work	2015-03-14	14	20	40.674	Heavy	1772	3403
home-to-work	2015-03-14	14	25	40.674	Heavy	1772	3501
home-to-work	2015-03-14	14	30	40.674	Heavy	1772	3558
home-to-work	2015-03-14	14	35	40.674	Heavy	1772	3552
home-to-work	2015-03-14	14	40	40.674	Heavy	1772	3531
home-to-work	2015-03-14	14	45	40.674	Heavy	1772	3437
home-to-work	2015-03-14	14	50	40.674	Heavy	1772	3354
home-to-work	2015-03-14	14	55	40.674	Heavy	1772	3356
home-to-work	2015-03-14	15	00	40.674	Heavy	1772	3312
home-to-work	2015-03-14	15	05	40.674	Heavy	1772	3312
home-to-work	2015-03-14	15	10	40.674	Heavy	1772	3462
home-to-work	2015-03-14	15	15	40.674	Heavy	1772	3464
home-to-work	2015-03-14	15	20	40.674	Heavy	1772	3404
home-to-work	2015-03-14	15	25	40.674	Heavy	1772	3213
home-to-work	2015-03-14	15	30	40.674	Heavy	1772	3189
home-to-work	2015-03-14	15	35	40.674	Heavy	1772	3180
home-to-work	2015-03-14	15	40	40.674	Heavy	1772	3144
home-to-work	2015-03-14	15	45	40.674	Heavy	1772	3121
home-to-work	2015-03-14	15	50	40.674	Heavy	1772	3234
home-to-work	2015-03-14	15	55	40.674	Heavy	1772	3129
home-to-work	2015-03-14	16	00	40.674	Heavy	1772	3126
home-to-work	2015-03-14	16	05	40.674	Heavy	1772	2997
home-to-work	2015-03-14	16	10	40.674	Heavy	1772	3017
home-to-work	2015-03-14	16	15	40.674	Heavy	1772	2978
home-to-work	2015-03-14	16	25	40.674	Heavy	1772	2923
home-to-work	2015-03-14	16	30	40.674	Heavy	1772	3051
home-to-work	2015-03-14	16	35	40.674	Heavy	1772	2957
home-to-work	2015-03-14	16	40	40.674	Heavy	1772	3000
home-to-work	2015-03-14	16	45	40.674	Heavy	1772	2899
home-to-work	2015-03-14	16	50	40.674	Heavy	1772	2812
home-to-work	2015-03-14	16	55	40.674	Heavy	1772	2826
home-to-work	2015-03-14	17	05	40.674	Heavy	1772	2859
home-to-work	2015-03-14	17	10	40.674	Heavy	1772	2899
home-to-work	2015-03-14	17	15	40.674	Heavy	1772	2758
home-to-work	2015-03-14	17	20	40.674	Heavy	1772	2671
home-to-work	2015-03-14	17	25	40.674	Medium	1772	2556
home-to-work	2015-03-14	17	30	40.674	Medium	1772	2613
home-to-work	2015-03-14	17	35	40.674	Medium	1772	2630
home-to-work	2015-03-14	17	40	40.674	Medium	1772	2579
home-to-work	2015-03-14	17	45	40.674	Medium	1772	2585
home-to-work	2015-03-14	17	50	40.674	Medium	1772	2657
home-to-work	2015-03-14	17	55	40.674	Heavy	1772	2749
home-to-work	2015-03-14	18	00	40.674	Heavy	1772	2748
home-to-work	2015-03-14	18	05	40.674	Heavy	1772	2709
home-to-work	2015-03-14	18	10	40.674	Medium	1772	2424
home-to-work	2015-03-14	18	15	40.674	Medium	1772	2547
home-to-work	2015-03-14	18	20	40.674	Medium	1772	2540
home-to-work	2015-03-14	18	25	40.674	Medium	1772	2576
home-to-work	2015-03-14	18	30	40.674	Medium	1772	2539
home-to-work	2015-03-14	18	35	40.674	Medium	1772	2604
home-to-work	2015-03-14	18	40	40.674	Medium	1772	2248
home-to-work	2015-03-14	18	45	40.674	Medium	1772	2300
home-to-work	2015-03-14	18	50	40.674	Medium	1772	2423
home-to-work	2015-03-14	18	55	40.674	Medium	1772	2354
home-to-work	2015-03-14	19	00	40.674	Medium	1772	2350
home-to-work	2015-03-14	19	10	40.674	Medium	1772	2344
home-to-work	2015-03-14	19	15	40.674	Medium	1772	2254
home-to-work	2015-03-14	19	20	40.674	Medium	1772	2247
home-to-work	2015-03-14	19	25	40.674	Medium	1772	2312
home-to-work	2015-03-14	19	30	40.674	Medium	1772	2267
home-to-work	2015-03-14	19	35	40.674	Medium	1772	2295
home-to-work	2015-03-14	19	40	40.674	Mild	1772	2203
home-to-work	2015-03-14	19	45	40.674	Mild	1772	2156
home-to-work	2015-03-14	19	50	40.674	Medium	1772	2230
home-to-work	2015-03-14	19	55	40.674	Mild	1772	2137
home-to-work	2015-03-14	20	00	40.674	Mild	1772	2155
home-to-work	2015-03-14	20	05	40.674	Mild	1772	2078
home-to-work	2015-03-14	20	10	40.674	Mild	1772	2065
home-to-work	2015-03-14	20	15	40.674	Mild	1772	2081
home-to-work	2015-03-14	20	20	40.674	Mild	1772	2040
home-to-work	2015-03-14	20	25	40.674	Mild	1772	2030
home-to-work	2015-03-14	20	30	40.674	Mild	1772	2013
home-to-work	2015-03-14	20	35	40.674	Mild	1772	2019
home-to-work	2015-03-14	20	40	40.674	Mild	1772	2000
home-to-work	2015-03-14	20	45	40.674	Mild	1772	1999
home-to-work	2015-03-14	20	50	40.674	Mild	1772	2135
home-to-work	2015-03-14	20	55	40.674	Mild	1772	2039
home-to-work	2015-03-14	21	00	40.674	Mild	1772	2046
home-to-work	2015-03-14	21	05	40.674	Mild	1772	2001
work-to-home	2015-03-14	00	00	39.994	None	1881	1972
work-to-home	2015-03-14	00	05	39.994	Mild	1881	2103
work-to-home	2015-03-14	00	10	39.994	None	1881	2009
work-to-home	2015-03-14	00	15	39.994	None	1881	1964
work-to-home	2015-03-14	00	20	39.994	None	1881	1974
work-to-home	2015-03-14	00	25	39.994	None	1881	1972
work-to-home	2015-03-14	00	30	39.994	None	1881	1951
work-to-home	2015-03-14	00	35	39.994	None	1881	1914
work-to-home	2015-03-14	00	40	39.994	None	1881	1921
work-to-home	2015-03-14	00	45	39.994	None	1881	1896
work-to-home	2015-03-14	00	50	39.994	None	1881	1894
work-to-home	2015-03-14	00	55	39.994	None	1881	1911
work-to-home	2015-03-14	01	00	39.994	None	1881	1899
work-to-home	2015-03-14	01	05	39.994	None	1881	1942
work-to-home	2015-03-14	01	10	39.994	None	1881	1893
work-to-home	2015-03-14	01	15	39.994	None	1881	1893
work-to-home	2015-03-14	01	20	39.994	None	1881	1901
work-to-home	2015-03-14	01	25	39.994	None	1881	1899
work-to-home	2015-03-14	01	30	39.994	None	1881	1911
work-to-home	2015-03-14	01	35	39.994	None	1881	1916
work-to-home	2015-03-14	01	40	39.994	None	1881	1914
work-to-home	2015-03-14	01	45	39.994	None	1881	1906
work-to-home	2015-03-14	01	50	39.994	None	1881	1910
work-to-home	2015-03-14	01	55	39.994	None	1881	1935
work-to-home	2015-03-14	02	00	39.994	None	1881	1933
work-to-home	2015-03-14	02	05	39.994	None	1881	1918
work-to-home	2015-03-14	02	10	39.994	None	1881	1920
work-to-home	2015-03-14	02	15	39.994	None	1881	1917
work-to-home	2015-03-14	02	20	39.994	None	1881	1901
work-to-home	2015-03-14	02	25	39.994	None	1881	1904
work-to-home	2015-03-14	02	30	39.994	None	1881	1904
work-to-home	2015-03-14	02	35	39.994	None	1881	1908
work-to-home	2015-03-14	02	40	39.994	None	1881	1906
work-to-home	2015-03-14	02	45	39.994	None	1881	1908
work-to-home	2015-03-14	02	50	39.994	None	1881	1913
work-to-home	2015-03-14	02	55	39.994	None	1881	1920
work-to-home	2015-03-14	03	00	39.994	None	1881	1904
work-to-home	2015-03-14	03	05	39.994	None	1881	1892
work-to-home	2015-03-14	03	10	39.994	None	1881	1896
work-to-home	2015-03-14	03	15	39.994	None	1881	1900
work-to-home	2015-03-14	03	20	39.994	None	1881	1930
work-to-home	2015-03-14	03	25	39.994	None	1881	1922
work-to-home	2015-03-14	03	30	39.994	None	1881	1917
work-to-home	2015-03-14	03	35	39.994	None	1881	1917
work-to-home	2015-03-14	03	40	39.994	None	1881	1911
work-to-home	2015-03-14	03	45	39.994	None	1881	1913
work-to-home	2015-03-14	03	50	39.994	None	1881	1912
work-to-home	2015-03-14	03	55	39.994	None	1881	1908
work-to-home	2015-03-14	04	00	39.994	None	1881	1908
work-to-home	2015-03-14	04	05	39.994	None	1881	1933
work-to-home	2015-03-14	04	10	39.994	None	1881	1915
work-to-home	2015-03-14	04	15	39.994	None	1881	1910
work-to-home	2015-03-14	04	20	39.994	None	1881	1914
work-to-home	2015-03-14	04	25	39.994	None	1881	1907
work-to-home	2015-03-14	04	30	39.994	None	1881	1907
work-to-home	2015-03-14	04	35	39.994	None	1881	1911
work-to-home	2015-03-14	04	40	39.994	None	1881	1937
work-to-home	2015-03-14	04	45	39.994	None	1881	1943
work-to-home	2015-03-14	04	50	39.994	None	1881	1922
work-to-home	2015-03-14	04	55	39.994	None	1881	1897
work-to-home	2015-03-14	05	00	39.994	None	1881	1905
work-to-home	2015-03-14	05	05	39.994	None	1881	1915
work-to-home	2015-03-14	05	10	39.994	None	1881	1941
work-to-home	2015-03-14	05	15	39.994	None	1881	2003
work-to-home	2015-03-14	05	20	39.994	None	1881	1921
work-to-home	2015-03-14	05	25	39.994	None	1881	1934
work-to-home	2015-03-14	05	30	39.994	None	1881	1921
work-to-home	2015-03-14	05	35	39.994	None	1881	1909
work-to-home	2015-03-14	05	40	39.994	None	1881	1941
work-to-home	2015-03-14	05	45	39.994	None	1881	1994
work-to-home	2015-03-14	05	50	39.994	None	1881	1970
work-to-home	2015-03-14	05	55	39.994	None	1881	1954
work-to-home	2015-03-14	06	00	39.994	Mild	1881	2210
work-to-home	2015-03-14	06	05	39.994	None	1881	2015
work-to-home	2015-03-14	06	10	39.994	Mild	1881	2147
work-to-home	2015-03-14	06	15	39.994	None	1881	1970
work-to-home	2015-03-14	06	20	39.994	None	1881	1957
work-to-home	2015-03-14	06	25	39.994	None	1881	2056
work-to-home	2015-03-14	06	30	39.994	None	1881	1923
work-to-home	2015-03-14	06	35	39.994	None	1881	1929
work-to-home	2015-03-14	06	40	39.994	None	1881	1929
work-to-home	2015-03-14	06	45	39.994	None	1881	1928
work-to-home	2015-03-14	06	50	39.994	None	1881	1933
work-to-home	2015-03-14	06	55	39.994	None	1881	2048
work-to-home	2015-03-14	07	00	39.994	None	1881	1979
work-to-home	2015-03-14	07	05	39.994	None	1881	1994
work-to-home	2015-03-14	07	10	39.994	None	1881	1931
work-to-home	2015-03-14	07	15	39.994	None	1881	1949
work-to-home	2015-03-14	07	20	39.994	None	1881	1972
work-to-home	2015-03-14	07	25	39.994	None	1881	1991
work-to-home	2015-03-14	07	30	39.994	None	1881	1989
work-to-home	2015-03-14	07	35	39.994	None	1881	1967
work-to-home	2015-03-14	07	40	39.994	None	1881	1991
work-to-home	2015-03-14	07	45	39.994	None	1881	2053
work-to-home	2015-03-14	07	50	39.994	None	1881	1993
work-to-home	2015-03-14	07	55	39.994	None	1881	2044
work-to-home	2015-03-14	08	00	39.994	None	1881	2027
work-to-home	2015-03-14	08	05	39.994	None	1881	1998
work-to-home	2015-03-14	08	10	39.994	None	1881	1981
work-to-home	2015-03-14	08	15	39.994	None	1881	1984
work-to-home	2015-03-14	08	20	39.994	None	1881	2027
work-to-home	2015-03-14	08	25	39.994	None	1881	2038
work-to-home	2015-03-14	08	30	39.994	None	1881	2013
work-to-home	2015-03-14	08	35	39.994	None	1881	2030
work-to-home	2015-03-14	08	40	39.994	Mild	1881	2112
work-to-home	2015-03-14	08	45	39.994	Mild	1881	2076
work-to-home	2015-03-14	08	50	39.994	None	1881	1991
work-to-home	2015-03-14	08	55	39.994	None	1881	2034
work-to-home	2015-03-14	09	00	39.994	None	1881	2025
work-to-home	2015-03-14	09	05	39.994	None	1881	2056
work-to-home	2015-03-14	09	10	39.994	None	1881	2068
work-to-home	2015-03-14	09	15	39.994	None	1881	2033
work-to-home	2015-03-14	09	20	39.994	None	1881	2051
work-to-home	2015-03-14	09	25	39.994	Mild	1881	2142
work-to-home	2015-03-14	09	30	39.994	Mild	1881	2101
work-to-home	2015-03-14	09	35	39.994	Mild	1881	2107
work-to-home	2015-03-14	09	40	39.994	Mild	1881	2239
work-to-home	2015-03-14	09	45	39.994	Mild	1881	2157
work-to-home	2015-03-14	09	50	39.994	Mild	1881	2164
work-to-home	2015-03-14	09	55	39.994	Mild	1881	2181
work-to-home	2015-03-14	10	00	39.994	Mild	1881	2240
work-to-home	2015-03-14	10	05	39.994	Mild	1881	2289
work-to-home	2015-03-14	10	10	39.994	Mild	1881	2340
work-to-home	2015-03-14	10	15	39.994	Mild	1881	2272
work-to-home	2015-03-14	10	20	39.994	Mild	1881	2218
work-to-home	2015-03-14	10	25	39.994	Medium	1881	2358
work-to-home	2015-03-14	10	30	39.994	Mild	1881	2331
work-to-home	2015-03-14	10	35	39.994	Mild	1881	2273
work-to-home	2015-03-14	10	40	39.994	Mild	1881	2258
work-to-home	2015-03-14	10	45	39.994	Mild	1881	2301
work-to-home	2015-03-14	10	50	39.994	Mild	1881	2254
work-to-home	2015-03-14	10	55	39.994	Medium	1881	2375
work-to-home	2015-03-14	11	00	39.994	Mild	1881	2253
work-to-home	2015-03-14	11	05	39.994	Mild	1881	2283
work-to-home	2015-03-14	11	10	39.994	Medium	1881	2440
work-to-home	2015-03-14	11	15	39.994	Medium	1881	2479
work-to-home	2015-03-14	11	20	39.994	Medium	1881	2630
work-to-home	2015-03-14	11	25	39.994	Medium	1881	2445
work-to-home	2015-03-14	11	30	39.994	Medium	1881	2553
work-to-home	2015-03-14	11	35	39.994	Medium	1881	2544
work-to-home	2015-03-14	11	40	39.994	Medium	1881	2502
work-to-home	2015-03-14	11	45	39.994	Medium	1881	2451
work-to-home	2015-03-14	11	50	39.994	Medium	1881	2651
work-to-home	2015-03-14	11	55	39.994	Medium	1881	2678
work-to-home	2015-03-14	12	00	39.994	Medium	1881	2620
work-to-home	2015-03-14	12	05	39.994	Medium	1881	2677
work-to-home	2015-03-14	12	10	39.994	Medium	1881	2740
work-to-home	2015-03-14	12	15	39.994	Heavy	1881	2846
work-to-home	2015-03-14	12	20	39.994	Medium	1881	2578
work-to-home	2015-03-14	12	25	39.994	Medium	1881	2620
work-to-home	2015-03-14	12	30	39.994	Medium	1881	2659
work-to-home	2015-03-14	12	35	39.994	Medium	1881	2716
work-to-home	2015-03-14	12	40	39.994	Heavy	1881	2958
work-to-home	2015-03-14	12	45	39.994	Heavy	1881	3142
work-to-home	2015-03-14	12	50	39.994	Heavy	1881	3013
work-to-home	2015-03-14	12	55	39.994	Heavy	1881	2834
work-to-home	2015-03-14	13	00	39.994	Heavy	1881	3029
work-to-home	2015-03-14	13	05	39.994	Medium	1881	2796
work-to-home	2015-03-14	13	10	39.994	Heavy	1881	2869
work-to-home	2015-03-14	13	15	39.994	Heavy	1881	2962
work-to-home	2015-03-14	13	20	39.994	Heavy	1881	2867
work-to-home	2015-03-14	13	25	39.994	Medium	1881	2720
work-to-home	2015-03-14	13	30	39.994	Heavy	1881	2842
work-to-home	2015-03-14	13	35	39.994	Heavy	1881	2836
work-to-home	2015-03-14	13	40	39.994	Heavy	1881	2847
work-to-home	2015-03-14	13	45	39.994	Heavy	1881	3095
work-to-home	2015-03-14	13	50	39.994	Heavy	1881	2970
work-to-home	2015-03-14	13	55	39.994	Heavy	1881	3010
work-to-home	2015-03-14	14	00	39.994	Heavy	1881	2869
work-to-home	2015-03-14	14	05	39.994	Heavy	1881	3155
work-to-home	2015-03-14	14	10	39.994	Heavy	1881	2986
work-to-home	2015-03-14	14	15	39.994	Heavy	1881	2865
work-to-home	2015-03-14	14	20	39.994	Heavy	1881	3071
work-to-home	2015-03-14	14	25	39.994	Heavy	1881	3528
work-to-home	2015-03-14	14	30	39.994	Heavy	1881	2940
work-to-home	2015-03-14	14	35	39.994	Heavy	1881	2929
work-to-home	2015-03-14	14	40	39.994	Heavy	1881	2830
work-to-home	2015-03-14	14	45	39.994	Heavy	1881	2973
work-to-home	2015-03-14	14	50	39.994	Heavy	1881	3090
work-to-home	2015-03-14	14	55	39.994	Heavy	1881	3262
work-to-home	2015-03-14	15	00	39.994	Heavy	1881	3368
work-to-home	2015-03-14	15	05	39.994	Heavy	1881	3063
work-to-home	2015-03-14	15	10	39.994	Heavy	1881	3070
work-to-home	2015-03-14	15	15	39.994	Heavy	1881	2989
work-to-home	2015-03-14	15	20	39.994	Heavy	1881	3275
work-to-home	2015-03-14	15	25	39.994	Heavy	1881	3387
work-to-home	2015-03-14	15	30	39.994	Heavy	1881	2924
work-to-home	2015-03-14	15	35	39.994	Heavy	1881	3309
work-to-home	2015-03-14	15	40	39.994	Heavy	1881	3237
work-to-home	2015-03-14	15	45	39.994	Heavy	1881	3125
work-to-home	2015-03-14	15	50	39.994	Heavy	1881	3135
work-to-home	2015-03-14	15	55	39.994	Heavy	1881	3235
work-to-home	2015-03-14	16	00	39.994	Heavy	1881	3168
work-to-home	2015-03-14	16	05	39.994	Heavy	1881	3036
work-to-home	2015-03-14	16	10	39.994	Heavy	1881	2976
work-to-home	2015-03-14	16	15	39.994	Heavy	1881	2902
work-to-home	2015-03-14	16	20	39.994	Heavy	1881	2858
work-to-home	2015-03-14	16	25	39.994	Heavy	1881	3048
work-to-home	2015-03-14	16	30	39.994	Heavy	1881	3073
work-to-home	2015-03-14	16	35	39.994	Heavy	1881	3058
work-to-home	2015-03-14	16	40	39.994	Heavy	1881	2952
work-to-home	2015-03-14	16	45	39.994	Heavy	1881	3183
work-to-home	2015-03-14	16	50	39.994	Heavy	1881	3109
work-to-home	2015-03-14	16	55	39.994	Heavy	1881	3307
work-to-home	2015-03-14	17	00	39.994	Heavy	1881	3084
work-to-home	2015-03-14	17	05	39.994	Heavy	1881	3212
work-to-home	2015-03-14	17	10	39.994	Heavy	1881	3041
